Date,Close,Open,High,Low,Volume,%Change
2018-07-02,5746.77,5828.49,5832.22,5746.77,4800000000.0,-0.9
2018-07-03,5633.94,5737.35,5752.32,5630.1,4960000000.0,-1.96
2018-07-04,5733.64,5640.56,5738.93,5557.56,5660000000.0,1.77
2018-07-05,5739.33,5727.91,5739.33,5685.75,5170000000.0,0.1
2018-07-06,5694.91,5733.13,5743.36,5694.91,4630000000.0,-0.77
2018-07-09,5807.38,5719.86,5815.45,5716.39,5270000000.0,1.97
2018-07-10,5881.76,5839.04,5888.59,5829.68,5380000000.0,1.28
2018-07-11,5893.36,5842.99,5897.96,5822.75,6240000000.0,0.2
2018-07-12,5907.87,5873.05,5931.52,5873.05,5700000000.0,0.25
2018-07-13,5944.07,5908.48,5961.34,5908.48,5490000000.0,0.61
2018-07-16,5905.16,5941.91,5956.8,5847.34,4650000000.0,-0.65
2018-07-17,5861.51,5881.79,5884.8,5840.94,5250000000.0,-0.74
2018-07-18,5890.73,5868.87,5899.65,5858.98,6900000000.0,0.5
2018-07-19,5871.08,5902.03,5920.93,5857.14,6150000000.0,-0.33
2018-07-20,5872.78,5867.81,5884.63,5842.93,5610000000.0,0.03
2018-07-23,5915.8,5886.52,5928.08,5884.98,5190000000.0,0.73
2018-07-24,5931.84,5934.41,5945.85,5925.05,5940000000.0,0.27
2018-07-25,5933.89,5941.13,5947.5,5923.2,8410000000.0,0.03
2018-07-26,5946.14,5949.66,5967.6,5928.74,8240000000.0,0.21
2018-07-27,5989.14,5947.36,5992.05,5947.06,6560000000.0,0.72
2018-07-30,6027.94,5998.1,6027.94,5994.08,7220000000.0,0.65
2018-07-31,5936.44,6012.93,6013.86,5910.53,8650000000.0,-1.52
2018-08-01,6033.42,5952.94,6034.55,5945.44,5990000000.0,1.63
2018-08-02,6011.72,6039.59,6055.07,6011.72,7780000000.0,-0.36
2018-08-03,6007.54,6014.8,6023.48,5994.04,5720000000.0,-0.07
2018-08-06,6101.13,6025.61,6102.54,6025.43,6620000000.0,1.56
2018-08-07,6091.25,6100.0,6113.99,6079.48,6030000000.0,-0.16
2018-08-08,6094.83,6110.84,6117.29,6081.63,6470000000.0,0.06
2018-08-09,6065.26,6084.75,6105.92,6055.27,6240000000.0,-0.49
2018-08-10,6077.17,6084.8,6107.7,6059.99,5290000000.0,0.2
2018-08-13,5861.25,6029.47,6034.56,5861.25,6090000000.0,-3.55
2018-08-14,5769.87,5850.72,5890.99,5744.57,5700000000.0,-1.56
2018-08-15,5816.59,5782.38,5819.64,5689.94,6200000000.0,0.81
2018-08-16,5783.8,5788.06,5811.62,5743.49,5340000000.0,-0.56
2018-08-20,5892.19,5833.54,5919.33,5833.54,5500000000.0,1.87
2018-08-21,5944.3,5899.3,5953.91,5899.3,5900000000.0,0.88
2018-08-23,5982.98,5962.1,5991.3,5934.29,5360000000.0,0.65
2018-08-24,5968.75,5975.41,5993.6,5949.61,4950000000.0,-0.24
2018-08-27,6025.97,5993.76,6025.97,5993.7,6570000000.0,0.96
2018-08-28,6042.65,6042.89,6065.25,6023.22,5910000000.0,0.28
2018-08-29,6065.15,6025.6,6065.15,6003.49,6300000000.0,0.37
2018-08-30,6018.96,6075.27,6086.94,6013.37,5850000000.0,-0.76
2018-08-31,6018.46,5984.96,6018.46,5940.65,5950000000.0,-0.01
2018-09-03,5967.58,6025.41,6026.91,5954.93,4430000000.0,-0.85
2018-09-04,5905.3,5974.76,5978.73,5889.1,5400000000.0,-1.04
2018-09-05,5683.5,5868.78,5868.78,5621.6,7180000000.0,-3.76
2018-09-06,5776.1,5661.96,5786.66,5660.86,5790000000.0,1.63
2018-09-07,5851.47,5780.81,5851.47,5769.25,5430000000.0,1.3
2018-09-10,5831.12,5835.38,5840.87,5776.02,5390000000.0,-0.35
2018-09-12,5798.15,5839.31,5870.6,5798.15,6140000000.0,-0.57
2018-09-13,5858.27,5834.77,5865.07,5834.77,6640000000.0,1.04
2018-09-14,5931.28,5870.98,5931.28,5870.98,5660000000.0,1.25
2018-09-17,5824.26,5908.43,5911.65,5811.92,5960000000.0,-1.8
2018-09-18,5811.79,5818.72,5844.95,5781.29,7100000000.0,-0.21
2018-09-19,5873.6,5835.8,5882.66,5835.8,6960000000.0,1.06
2018-09-20,5931.27,5898.48,5941.02,5897.6,7090000000.0,0.98
2018-09-21,5957.74,5956.5,5975.17,5935.04,8630000000.0,0.45
2018-09-24,5882.22,5958.57,5958.57,5876.65,6870000000.0,-1.27
2018-09-25,5874.3,5875.16,5895.02,5850.75,6590000000.0,-0.13
2018-09-26,5873.27,5871.56,5908.59,5870.3,7510000000.0,-0.02
2018-09-27,5929.22,5871.44,5931.72,5870.54,5970000000.0,0.95
2018-09-28,5976.55,5930.6,5976.55,5930.6,6270000000.0,0.8
2018-10-01,5944.6,5950.86,5982.06,5944.6,6060000000.0,-0.53
2018-10-02,5875.62,5947.25,5956.78,5862.95,8770000000.0,-1.16
2018-10-03,5867.74,5874.49,5921.57,5848.16,7290000000.0,-0.13
2018-10-04,5756.62,5847.6,5847.6,5742.31,9020000000.0,-1.89
2018-10-05,5731.94,5738.59,5758.27,5706.4,6490000000.0,-0.43
2018-10-08,5761.07,5728.7,5794.43,5728.64,7370000000.0,0.51
2018-10-09,5796.79,5771.92,5796.79,5756.24,6450000000.0,0.62
2018-10-10,5820.67,5815.29,5832.93,5798.74,6830000000.0,0.41
2018-10-11,5702.82,5734.0,5746.24,5669.72,9050000000.0,-2.02
2018-10-12,5756.49,5722.49,5788.68,5722.49,6020000000.0,0.94
2018-10-15,5727.26,5786.66,5816.04,5725.58,6510000000.0,-0.51
2018-10-16,5800.82,5737.94,5800.82,5719.51,6490000000.0,1.28
2018-10-17,5868.62,5833.25,5868.62,5819.18,6460000000.0,1.17
2018-10-18,5845.24,5850.12,5858.79,5811.93,6280000000.0,-0.4
2018-10-19,5837.29,5810.13,5861.99,5796.78,6350000000.0,-0.14
2018-10-22,5840.44,5841.42,5869.65,5827.63,6860000000.0,0.05
2018-10-23,5797.89,5838.69,5848.04,5797.34,6160000000.0,-0.73
2018-10-24,5709.42,5795.75,5818.84,5709.42,7160000000.0,-1.53
2018-10-25,5754.97,5629.95,5754.97,5623.84,5160000000.0,0.8
2018-10-26,5784.92,5761.45,5790.95,5748.61,5250000000.0,0.52
2018-10-29,5754.61,5788.93,5814.68,5747.03,4960000000.0,-0.52
2018-10-30,5789.1,5755.02,5789.1,5733.24,5970000000.0,0.6
2018-10-31,5831.65,5817.49,5835.17,5769.55,6990000000.0,0.73
2018-11-01,5835.92,5855.22,5883.22,5815.76,6320000000.0,0.07
2018-11-02,5906.29,5873.01,5906.29,5827.15,6700000000.0,1.21
2018-11-05,5920.59,5895.24,5926.64,5886.21,5370000000.0,0.24
2018-11-06,5923.93,5942.32,5959.97,5898.56,5330000000.0,0.06
2018-11-07,5939.89,5942.22,5947.61,5891.14,6250000000.0,0.27
2018-11-08,5976.81,5972.33,5996.84,5949.52,7320000000.0,0.62
2018-11-09,5874.15,5934.18,5936.03,5859.09,6530000000.0,-1.72
2018-11-12,5777.05,5865.74,5884.08,5777.05,5550000000.0,-1.65
2018-11-13,5835.2,5754.6,5850.38,5747.53,5890000000.0,1.01
2018-11-14,5858.29,5857.72,5896.8,5851.79,7280000000.0,0.4
2018-11-15,5955.74,5885.22,5960.4,5880.21,6010000000.0,1.66
2018-11-16,6012.35,5975.11,6058.82,5968.67,6110000000.0,0.95
2018-11-19,6005.3,6028.34,6036.99,5974.14,5600000000.0,-0.12
2018-11-21,5948.05,5942.2,5978.6,5908.0,6430000000.0,-0.95
2018-11-22,5990.81,5936.66,5997.64,5936.66,7660000000.0,0.72
